
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	ARI	176	751	13.95 %
2	JAX	152	518	13.04 %
3	NE	148	563	12.23 %
4	IND	142	526	11.42 %
5	SF	139	503	11.76 %
6	PHI	132	536	10.83 %
7	GB	131	489	10.94 %
8	HOU	130	377	11.27 %
9	DAL	122	538	8.97 %
10	SEA	118	490	10.85 %
11	TEN	115	471	8.96 %
12	KC	104	442	8.11 %
13	DET	104	318	8.69 %
14	NYG	101	378	8.48 %
15	TB	101	425	7.79 %
16	DEN	96	386	8.13 %
17	MIN	92	379	7.15 %
18	CAR	87	345	7.06 %
19	LA	82	272	6.82 %
20	PIT	81	267	6.52 %
21	MIA	79	194	6.29 %
22	WAS	78	211	6.45 %
23	LAC	77	242	6.12 %
24	LV	76	261	6.20 %
25	BUF	73	234	5.72 %
26	CHI	68	238	5.80 %
27	NYJ	63	253	5.39 %
28	CIN	57	196	4.71 %
29	NO	56	148	4.67 %
30	ATL	50	193	4.32 %
31	BAL	47	250	3.54 %
32	CLE	28	53	2.39 %
