
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	WAS	72	331	5.95 %
2	PHI	71	398	5.82 %
3	NE	62	354	5.12 %
4	SF	61	346	5.16 %
5	TEN	58	360	4.52 %
6	ATL	58	200	5.01 %
7	BUF	56	230	4.39 %
8	LAC	52	317	4.13 %
9	ARI	51	181	4.04 %
10	KC	50	219	3.90 %
11	DEN	49	207	4.15 %
12	IND	47	349	3.78 %
13	JAX	45	340	3.86 %
14	CAR	44	237	3.57 %
15	GB	44	168	3.68 %
16	BAL	42	184	3.17 %
17	DAL	42	230	3.09 %
18	CHI	41	234	3.50 %
19	MIN	40	126	3.11 %
20	PIT	38	119	3.06 %
21	CLE	38	294	3.25 %
22	CIN	36	142	2.97 %
23	NO	36	138	3.00 %
24	NYJ	36	172	3.08 %
25	DET	33	148	2.76 %
26	SEA	30	99	2.76 %
27	LA	29	150	2.41 %
28	TB	29	182	2.24 %
29	HOU	26	66	2.25 %
30	LV	26	72	2.12 %
31	NYG	24	176	2.02 %
32	MIA	19	88	1.51 %
