
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	NO	73	220	6.09 %
2	MIA	70	250	5.58 %
3	LV	70	247	5.71 %
4	IND	63	301	5.07 %
5	CHI	62	221	5.29 %
6	PIT	61	208	4.91 %
7	BAL	59	216	4.45 %
8	CLE	56	229	4.78 %
9	LAC	56	255	4.45 %
10	WAS	55	216	4.55 %
11	NE	54	218	4.46 %
12	TEN	54	215	4.21 %
13	BUF	51	234	4.00 %
14	HOU	48	150	4.16 %
15	MIN	47	191	3.65 %
16	DEN	47	169	3.98 %
17	NYJ	44	147	3.76 %
18	NYG	43	163	3.61 %
19	CAR	40	138	3.25 %
20	PHI	40	216	3.28 %
21	GB	39	270	3.26 %
22	DAL	38	156	2.79 %
23	SF	38	126	3.21 %
24	KC	37	161	2.88 %
25	ATL	36	99	3.11 %
26	ARI	36	185	2.85 %
27	TB	35	96	2.70 %
28	CIN	34	150	2.81 %
29	SEA	32	95	2.94 %
30	LA	31	80	2.58 %
31	DET	27	185	2.26 %
32	JAX	22	107	1.89 %
