
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	LA	78	332	6.49 %
2	CLE	74	397	6.32 %
3	DET	67	306	5.60 %
4	CIN	64	322	5.28 %
5	TEN	63	254	4.91 %
6	WAS	60	243	4.96 %
7	CAR	59	242	4.79 %
8	NO	58	263	4.84 %
9	MIN	55	253	4.27 %
10	LV	55	156	4.49 %
11	ATL	54	173	4.66 %
12	CHI	53	205	4.52 %
13	DAL	52	202	3.82 %
14	DEN	48	244	4.06 %
15	BUF	47	234	3.68 %
16	HOU	46	141	3.99 %
17	LAC	43	188	3.42 %
18	IND	43	215	3.46 %
19	MIA	42	186	3.35 %
20	NYJ	42	234	3.59 %
21	PHI	41	232	3.36 %
22	SF	37	173	3.13 %
23	PIT	36	97	2.90 %
24	TB	31	156	2.39 %
25	BAL	30	108	2.26 %
26	ARI	30	143	2.38 %
27	GB	29	80	2.42 %
28	NYG	28	77	2.35 %
29	NE	28	123	2.31 %
30	JAX	26	107	2.23 %
31	SEA	25	114	2.30 %
32	KC	20	86	1.56 %
