
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	PHI	65	384	5.33 %
2	SF	63	371	5.33 %
3	BAL	62	306	4.68 %
4	MIN	58	267	4.51 %
5	CIN	53	227	4.38 %
6	TEN	50	157	3.89 %
7	CLE	50	276	4.27 %
8	KC	49	213	3.82 %
9	BUF	46	291	3.61 %
10	TB	46	229	3.55 %
11	DEN	44	191	3.73 %
12	DAL	43	285	3.16 %
13	WAS	43	198	3.55 %
14	NO	43	262	3.59 %
15	GB	40	203	3.34 %
16	ATL	38	189	3.28 %
17	JAX	38	161	3.26 %
18	CAR	38	107	3.08 %
19	LAC	37	164	2.94 %
20	IND	36	328	2.90 %
21	DET	34	103	2.84 %
22	ARI	34	130	2.69 %
23	SEA	32	169	2.94 %
24	NYG	32	169	2.69 %
25	PIT	32	219	2.58 %
26	LA	32	214	2.66 %
27	NYJ	31	139	2.65 %
28	CHI	28	78	2.39 %
29	HOU	24	92	2.08 %
30	LV	22	84	1.79 %
31	MIA	20	85	1.59 %
32	NE	19	173	1.57 %
