
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	BAL	85	313	6.41 %
2	CLE	82	338	7.00 %
3	NO	73	262	6.09 %
4	MIA	69	222	5.50 %
5	CIN	68	254	5.62 %
6	PIT	60	253	4.83 %
7	NYJ	58	195	4.96 %
8	LV	58	296	4.73 %
9	MIN	56	216	4.35 %
10	CHI	55	199	4.69 %
11	TEN	54	172	4.21 %
12	NE	54	268	4.46 %
13	IND	54	238	4.34 %
14	HOU	47	189	4.07 %
15	DEN	46	157	3.90 %
16	NYG	46	167	3.86 %
17	DAL	46	152	3.38 %
18	CAR	46	137	3.73 %
19	DET	45	166	3.76 %
20	GB	42	163	3.51 %
21	TB	40	173	3.09 %
22	KC	39	166	3.04 %
23	LAC	38	152	3.02 %
24	ATL	38	137	3.28 %
25	SEA	37	141	3.40 %
26	LA	36	207	3.00 %
27	WAS	35	141	2.89 %
28	PHI	35	143	2.87 %
29	SF	35	108	2.96 %
30	BUF	30	158	2.35 %
31	ARI	24	78	1.90 %
32	JAX	20	91	1.72 %
