
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	CLE	75	465	6.40 %
2	CIN	62	239	5.12 %
3	ATL	61	234	5.27 %
4	DET	61	329	5.10 %
5	LA	61	278	5.07 %
6	MIN	58	264	4.51 %
7	BAL	58	185	4.37 %
8	TEN	58	227	4.52 %
9	DEN	58	325	4.91 %
10	CAR	57	229	4.63 %
11	NO	53	201	4.42 %
12	DAL	44	200	3.24 %
13	CHI	43	176	3.67 %
14	NYJ	43	155	3.68 %
15	NYG	42	132	3.53 %
16	TB	42	203	3.24 %
17	PHI	41	185	3.36 %
18	NE	41	119	3.39 %
19	SEA	40	256	3.68 %
20	IND	38	242	3.06 %
21	WAS	36	164	2.98 %
22	HOU	34	103	2.95 %
23	PIT	33	119	2.66 %
24	SF	33	131	2.79 %
25	LV	31	147	2.53 %
26	MIA	31	111	2.47 %
27	BUF	30	119	2.35 %
28	GB	29	118	2.42 %
29	ARI	29	152	2.30 %
30	LAC	27	80	2.15 %
31	KC	26	87	2.03 %
32	JAX	21	58	1.80 %
