
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	TB	159	1130	12.27 %
2	TEN	142	877	11.06 %
3	BAL	140	987	10.56 %
4	SF	134	1212	11.34 %
5	ATL	133	1010	11.49 %
6	PIT	132	719	10.63 %
7	KC	129	949	10.05 %
8	MIA	114	754	9.08 %
9	CIN	113	1014	9.33 %
10	CAR	107	823	8.69 %
11	NYJ	103	701	8.81 %
12	DET	102	845	8.52 %
13	MIN	102	787	7.93 %
14	CHI	100	751	8.53 %
15	LA	98	623	8.15 %
16	WAS	98	693	8.10 %
17	LAC	98	571	7.79 %
18	LV	98	821	7.99 %
19	NYG	97	619	8.14 %
20	ARI	97	737	7.69 %
21	BUF	95	749	7.45 %
22	IND	95	509	7.64 %
23	NE	87	803	7.19 %
24	JAX	84	538	7.20 %
25	DAL	84	519	6.18 %
26	DEN	82	755	6.94 %
27	NO	78	491	6.51 %
28	HOU	77	576	6.67 %
29	GB	75	648	6.27 %
30	SEA	69	462	6.34 %
31	CLE	56	430	4.78 %
32	PHI	31	195	2.54 %
