
Rank	Team	Number of Plays	Total Yards	Percentage of Total Plays
1	NYG	234	1109	19.65 %
2	LAC	233	1636	18.52 %
3	DAL	218	1411	16.03 %
4	WAS	205	1191	16.94 %
5	HOU	198	1063	17.16 %
6	BUF	198	989	15.52 %
7	KC	196	1180	15.28 %
8	NYJ	195	1053	16.68 %
9	PHI	192	1132	15.75 %
10	ARI	188	1178	14.90 %
11	MIA	186	911	14.82 %
12	JAX	186	948	15.95 %
13	DEN	184	1063	15.58 %
14	LV	184	1077	15.01 %
15	GB	183	886	15.29 %
16	LA	183	1035	15.22 %
17	DET	182	977	15.20 %
18	ATL	181	892	15.63 %
19	PIT	181	953	14.57 %
20	BAL	180	983	13.57 %
21	MIN	175	1058	13.60 %
22	CAR	174	858	14.12 %
23	TB	173	986	13.35 %
24	TEN	170	985	13.24 %
25	CLE	166	1002	14.18 %
26	NO	163	908	13.59 %
27	NE	162	1016	13.39 %
28	IND	162	779	13.03 %
29	CIN	158	1298	13.05 %
30	CHI	158	931	13.48 %
31	SEA	145	691	13.33 %
32	SF	135	870	11.42 %
