RK
NAME
TEAM
POS
GMS
PASSING	RUSHING	RECEIVING	
FUM LST
PPG
FPTS
YDS
TD
INT
YDS
TD
REC
YDS
TD
1	Patrick Mahomes                                            
2	Josh Allen              
3	Gabriel Davis               
4	Matthew Stafford                
5	Mike Evans              
6	Travis Kelce                
7	Tyreek Hill             
8	Cooper Kupp             
9	Devin Singletary                
10	Jerick McKinnon             
10	Ja'Marr Chase               
12	Byron Pringle               
13	Joe Mixon               
14	C.J. Uzomah             
15	Tom Brady               
16	Leonard Fournette               
17	Deebo Samuel                
18	Joe Burrow              
19	Odell Beckham Jr.               
20	Dawson Knox             
21	Kendrick Bourne             
22	Rob Gronkowski              
23	Aaron Jones             
24	Elijah Mitchell Q               
25	A.J. Brown              
26	Mecole Hardman              
27	Dak Prescott                
28	Giovani Bernard             
29	Tee Higgins             
30	Amari Cooper                
31	Davante Adams               
32	Zay Jones               
33	Josh Jacobs             
33	Tyler Higbee                
35	Tyler Boyd              
36	Ben Roethlisberger              
36	Kenneth Gainwell                
38	Cam Akers               
39	Jalen Hurts             
40	Dalton Schultz              
41	Dallas Goedert              
42	Mac Jones               
43	Cole Beasley                
44	Stefon Diggs                
45	Darren Waller               
46	Derek Carr              
46	Diontae Johnson             
48	Ke'Shawn Vaughn             
48	Emmanuel Sanders                
50	Hunter Renfrow              
51	Isaiah McKenzie             
52	George Kittle               
53	Derrick Henry               
53	Julio Jones             
55	DeVonta Smith               
56	James Washington                
57	Demarcus Robinson               
57	Brandon Aiyuk               
59	Van Jefferson Q             
60	Tyree Jackson               
60	Cedrick Wilson              
62	Christian Kirk              
63	Boston Scott                
63	Scotty Miller               
65	Rhamondre Stevenson             
65	Jakobi Meyers               
67	Kendall Blanton             
68	Tyler Johnson               
69	James Conner                
70	Aaron Rodgers               
71	JaQuan Hardy                
72	AJ Dillon               
73	Jimmy Garoppolo Q               
74	Rondale Moore               
75	Ryan Tannehill              
76	Clyde Edwards-Helaire               
77	Sony Michel             
77	Cameron Brate               
79	JuJu Smith-Schuster             
80	Jauan Jennings              
81	Zach Gentry             
82	Bryan Edwards               
83	Brandon Bolden              
84	D'Onta Foreman              
85	Pat Freiermuth              
86	Miles Sanders               
87	Quez Watkins                
87	Chase Claypool              
89	Eno Benjamin                
90	Benny Snell Jr.             
90	Zach Ertz               
92	Kyle Juszczyk               
93	Damien Harris               
94	Tony Pollard                
95	Dontrell Hilliard               
96	Reggie Gilliam              
97	Ezekiel Elliott             
98	Kyler Murray                
99	Hunter Henry                
99	Ray-Ray McCloud             

1	Patrick Mahomes                                                KC	QB	2	782	8	1	98	1	0	0	0	0	38.5	77.08
2	Josh Allen                  BUF	QB	2	637	9	0	134	0	0	0	0	0	38.4	76.88
3	Gabriel Davis                   BUF	WR	2	0	0	0	0	0	10	242	5	0	32.1	64.2
4	Matthew Stafford                    LAR	QB	2	568	4	0	28	2	0	0	0	0	26.8	53.52
5	Mike Evans                  TB	WR	2	0	0	0	0	0	17	236	2	0	26.3	52.6
6	Travis Kelce                    KC	TE	2	2	1	0	0	0	13	204	2	0	24.7	49.48
7	Tyreek Hill                 KC	WR	2	0	0	0	-2	0	16	207	2	0	24.2	48.5
8	Cooper Kupp                 LAR	WR	2	0	0	0	0	0	14	244	2	1	24.2	48.4
9	Devin Singletary                    BUF	RB	2	0	0	0	107	3	7	38	0	0	19.8	39.5
10	Jerick McKinnon                 KC	RB	2	0	0	0	85	0	11	135	1	0	19.5	39
10	Ja'Marr Chase                   CIN	WR	2	0	0	0	25	0	14	225	0	0	19.5	39
12	Byron Pringle                   KC	WR	2	0	0	0	0	0	10	66	3	0	17.3	34.6
13	Joe Mixon                   CIN	RB	2	0	0	0	102	1	10	79	0	0	17	34.1
14	C.J. Uzomah                 CIN	TE	2	0	0	0	0	0	13	135	1	0	16.2	32.5
15	Tom Brady                   TB	QB	2	600	3	1	0	0	0	0	0	1	16	32
16	Leonard Fournette                   TB	RB	1	0	0	0	51	2	9	56	0	0	31.7	31.7
17	Deebo Samuel                    SF	WR	2	0	0	0	111	1	6	82	0	0	15.6	31.3
18	Joe Burrow                  CIN	QB	2	592	2	1	3	0	0	0	0	0	15	29.98
19	Odell Beckham Jr.                   LAR	WR	2	40	0	0	0	0	10	123	1	0	15	29.9
20	Dawson Knox                 BUF	TE	2	0	0	0	0	0	7	98	2	0	14.4	28.8
21	Kendrick Bourne                 NE	WR	1	0	0	0	14	0	7	77	2	0	28.1	28.1
22	Rob Gronkowski                  TB	TE	2	0	0	0	0	0	9	116	1	0	13.3	26.6
23	Aaron Jones                 GB	RB	1	0	0	0	41	0	9	129	0	0	26	26
24	Elijah Mitchell Q                   SF	RB	2	0	0	0	149	1	4	7	0	0	12.8	25.6
25	A.J. Brown                  TEN	WR	1	0	0	0	0	0	5	142	1	0	25.2	25.2
26	Mecole Hardman                  KC	WR	2	0	0	0	37	1	5	69	0	0	10.8	21.6
27	Dak Prescott                    DAL	QB	1	254	1	1	27	1	0	0	0	0	20.9	20.86
28	Giovani Bernard                 TB	RB	2	0	0	0	44	1	5	39	0	0	9.6	19.3
29	Tee Higgins                 CIN	WR	2	0	0	0	0	0	8	106	0	0	9.3	18.6
30	Amari Cooper                    DAL	WR	1	0	0	0	0	0	6	64	1	0	18.4	18.4
