"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","385","601","64.1","4,168","6.9","34","15","26","117","700","6","3","16","393.8","24.6","100.0%"
"2","Justin Herbert (LAC)","409","608","67.3","4,631","7.6","35","14","28","61","301","3","1","16","367.2","23.0","98.7%"
"3","Tom Brady (TB)","456","682","66.9","4,990","7.3","40","12","21","28","81","2","3","16","361.7","22.6","99.1%"
"4","Patrick Mahomes II (KC)","409","614","66.6","4,558","7.4","35","13","27","57","327","2","4","16","348.0","21.8","100.0%"
"5","Joe Burrow (CIN)","366","520","70.4","4,611","8.9","34","14","51","40","118","2","2","16","328.1","20.5","90.6%"
"6","Matthew Stafford (LAR)","383","569","67.3","4,648","8.2","38","15","25","32","43","0","2","16","327.3","20.5","97.2%"
"7","Aaron Rodgers (GB)","352","513","68.6","3,977","7.8","35","4","27","32","94","3","0","15","323.1","21.5","98.3%"
"8","Jalen Hurts (PHI)","265","432","61.3","3,144","7.3","16","9","26","139","784","10","2","15","321.2","21.4","95.3%"
"9","Dak Prescott (DAL)","389","569","68.4","4,154","7.3","32","10","29","48","146","1","6","15","298.6","19.9","98.4%"
"10","Kyler Murray (ARI)","305","442","69.0","3,547","8.0","23","10","26","83","388","5","0","13","293.4","22.6","99.2%"
"11","Kirk Cousins (MIN)","358","539","66.4","3,971","7.4","30","7","25","28","116","1","2","15","285.4","19.0","69.9%"
"12","Derek Carr (LV)","408","590","69.2","4,618","7.8","21","14","37","39","109","0","5","16","255.3","16.0","57.3%"
"13","Ryan Tannehill (TEN)","334","499","66.9","3,447","6.9","17","14","46","53","272","7","4","16","255.0","15.9","61.5%"
"14","Lamar Jackson (BAL)","246","382","64.4","2,882","7.5","16","13","38","134","767","2","3","12","253.0","21.1","95.9%"
"15","Carson Wentz (IND)","305","487","62.6","3,378","6.9","26","6","26","54","198","1","4","16","252.8","15.8","43.5%"
"16","Taylor Heinicke (WAS)","312","476","65.5","3,299","6.9","20","15","35","58","310","1","2","15","232.6","15.5","21.2%"
"17","Mac Jones (NE)","332","491","67.6","3,540","7.2","21","12","26","41","125","0","2","16","226.2","14.1","27.7%"
"18","Jimmy Garoppolo (SF)","278","409","68.0","3,494","8.5","19","10","26","37","50","3","3","14","224.8","16.1","23.1%"
"19","Russell Wilson (SEA)","244","374","65.2","2,875","7.7","22","5","32","39","178","1","0","13","223.7","17.2","90.4%"
"20","Matt Ryan (ATL)","355","527","67.4","3,752","7.1","19","11","37","39","80","1","4","16","223.0","13.9","36.4%"
"21","Ben Roethlisberger (PIT)","360","561","64.2","3,496","6.2","21","9","37","17","9","1","5","15","215.6","14.4","23.4%"
"22","Teddy Bridgewater (DEN)","285","426","66.9","3,052","7.2","18","7","31","30","106","2","1","14","209.8","15.0","15.7%"
"23","Trevor Lawrence (JAC)","336","570","58.9","3,418","6.0","10","17","31","63","317","2","5","16","197.4","12.3","23.9%"
"24","Baker Mayfield (CLE)","253","418","60.5","3,010","7.2","17","13","43","37","134","1","3","14","193.8","13.8","26.6%"
"25","Jared Goff (DET)","311","464","67.0","3,007","6.5","17","8","34","17","87","0","6","13","184.9","14.2","5.3%"
"26","Tua Tagovailoa (MIA)","248","366","67.8","2,544","7.0","15","10","19","37","90","3","1","12","178.7","14.9","44.9%"
"27","Daniel Jones (NYG)","232","361","64.3","2,428","6.7","10","7","22","62","298","2","3","11","174.6","15.9","13.6%"
"28","Sam Darnold (CAR)","214","364","58.8","2,308","6.3","7","12","33","40","203","5","3","11","154.8","14.1","5.4%"
"29","Zach Wilson (NYJ)","206","363","56.7","2,247","6.2","8","11","36","27","161","4","1","12","153.0","12.8","6.6%"
"30","Davis Mills (HOU)","240","361","66.5","2,363","6.5","13","10","29","14","32","0","1","12","139.8","11.7","3.7%"
"31","Justin Fields (CHI)","159","270","58.9","1,870","6.9","7","10","36","72","420","2","5","12","136.9","11.4","21.1%"
"32","Jameis Winston (NO)","95","161","59.0","1,170","7.3","14","3","11","32","166","1","1","7","120.3","17.2","5.1%"
"33","Taysom Hill (NO)","71","125","56.8","871","7.0","3","5","9","65","356","5","0","11","116.7","10.6","49.4%"
"34","Cam Newton (CAR)","69","126","54.8","684","5.4","4","5","10","47","230","5","1","7","91.3","13.0","20.7%"
"35","Tyrod Taylor (HOU)","91","150","60.7","966","6.4","5","5","13","19","151","3","0","6","86.7","14.5","5.0%"
"36","Trevor Siemian (NO)","99","173","57.2","1,083","6.3","9","3","8","7","21","1","1","5","82.5","16.5","1.1%"
"37","Tyler Huntley (BAL)","106","157","67.5","940","6.0","3","2","15","35","222","2","2","6","77.9","13.0","24.7%"
"38","Jacoby Brissett (MIA)","141","225","62.7","1,283","5.7","5","4","19","19","70","1","3","11","76.4","6.9","0.7%"
"39","Andy Dalton (CHI)","116","188","61.7","1,190","6.3","7","7","11","15","69","0","1","7","75.4","10.8","1.5%"
"40","Trey Lance (SF)","41","71","57.7","603","8.5","5","2","4","38","168","1","0","6","67.0","11.2","27.2%"
"41","Geno Smith (SEA)","65","95","68.4","702","7.4","5","1","13","9","42","1","1","4","55.3","13.8","0.6%"
"42","Mike White (NYJ)","88","132","66.7","953","7.2","5","8","4","5","-1","0","0","4","52.0","13.0","0.8%"
"43","Josh Johnson (BAL)","57","85","67.1","638","7.5","5","2","3","9","28","0","0","4","48.4","12.1","1.2%"
"44","Colt McCoy (ARI)","74","99","74.7","740","7.5","3","1","6","22","37","0","1","8","42.3","5.3","0.4%"
"45","Mike Glennon (NYG)","90","167","53.9","790","4.7","4","10","9","7","33","1","3","6","40.9","6.8","0.8%"
"46","Drew Lock (DEN)","55","87","63.2","625","7.2","2","2","8","6","18","0","1","5","31.8","6.4","1.5%"
"47","Tim Boyle (DET)","61","94","64.9","526","5.6","3","6","0","1","14","0","0","3","30.5","10.2","0.2%"
"48","Cooper Rush (DAL)","29","46","63.0","412","9.0","3","1","3","6","-4","0","1","3","25.1","8.4","0.3%"
"49","Joe Flacco (NYJ)","27","42","64.3","338","8.0","3","0","2","2","3","0","1","2","23.8","11.9","0.3%"
"50","Mason Rudolph (PIT)","35","58","60.3","277","4.8","1","1","0","5","53","0","0","2","19.4","9.7","0.3%"
"51","Gardner Minshew II (PHI)","22","27","81.5","253","9.4","2","0","2","4","11","0","0","2","19.2","9.6","2.0%"
"52","P.J. Walker (CAR)","36","66","54.5","362","5.5","1","3","7","7","13","0","1","5","16.8","3.4","0.1%"
"53","Nick Foles (CHI)","24","35","68.6","250","7.1","1","0","4","4","8","0","0","1","16.8","16.8","0.7%"
