"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","317","1,734","5.5","83","0","18","37","47","342","9.2","2","2","16","360.6","22.5","100.0%"
"2","Austin Ekeler (LAC)","190","847","4.5","28","0","11","65","82","612","9.4","7","3","15","314.9","21.0","99.9%"
"3","Najee Harris (PIT)","296","1,172","4.0","37","0","7","70","90","440","6.3","3","0","16","291.2","18.2","99.9%"
"4","Joe Mixon (CIN)","292","1,205","4.1","32","0","13","42","48","314","7.5","3","1","16","287.9","18.0","99.9%"
"5","Leonard Fournette (TB)","180","812","4.5","47","0","8","69","84","454","6.6","2","0","14","255.6","18.3","76.0%"
"6","Ezekiel Elliott (DAL)","219","915","4.2","47","0","10","46","62","284","6.2","2","1","16","242.1","15.1","99.8%"
"7","Cordarrelle Patterson (ATL)","149","607","4.1","39","0","6","51","68","547","10.7","5","0","15","232.4","15.5","96.0%"
"8","James Conner (ARI)","187","700","3.7","35","0","14","31","33","334","10.8","2","0","14","230.4","16.5","94.1%"
"9","Aaron Jones (GB)","171","799","4.7","57","0","4","52","65","391","7.5","6","1","15","229.0","15.3","99.8%"
"10","Alvin Kamara (NO)","210","752","3.6","30","0","4","45","65","423","9.4","5","0","12","216.5","18.0","100.0%"
"11","Nick Chubb (CLE)","219","1,201","5.5","70","0","8","19","24","172","9.1","1","1","13","208.3","16.0","99.8%"
"12","Antonio Gibson (WAS)","237","891","3.8","27","0","6","41","49","289","7.0","3","4","15","207.0","13.8","95.5%"
"13","Josh Jacobs (LV)","191","740","3.9","21","0","8","52","62","336","6.5","0","2","14","203.6","14.5","97.8%"
"14","Dalvin Cook (MIN)","235","1,080","4.6","66","0","6","33","48","221","6.7","0","2","12","197.1","16.4","100.0%"
"15","Javonte Williams (DEN)","191","857","4.5","49","0","4","41","51","298","7.3","3","1","16","196.5","12.3","92.9%"
"16","D'Andre Swift (DET)","144","587","4.1","57","0","4","58","73","436","7.5","2","1","12","194.3","16.2","97.3%"
"17","Derrick Henry (TEN)","219","937","4.3","76","0","10","18","20","154","8.6","0","0","8","193.3","24.2","77.8%"
"18","Damien Harris (NE)","191","892","4.7","64","0","14","14","16","96","6.9","0","2","14","192.8","13.8","89.8%"
"19","Darrel Williams (KC)","137","541","3.9","21","0","6","44","53","422","9.6","2","0","16","188.3","11.8","78.6%"
"20","David Montgomery (CHI)","205","777","3.8","41","0","7","40","48","294","7.4","0","1","13","186.1","14.3","98.0%"
"21","Melvin Gordon III (DEN)","191","808","4.2","70","0","7","27","36","207","7.7","2","2","15","178.6","11.9","88.5%"
"22","AJ Dillon (GB)","173","740","4.3","36","0","5","33","36","309","9.4","2","1","16","177.9","11.1","87.3%"
"23","James Robinson (JAC)","164","767","4.7","58","0","8","31","46","222","7.2","0","2","14","173.9","12.4","78.3%"
"24","Devin Singletary (BUF)","169","782","4.6","46","0","6","38","48","204","5.4","0","0","16","172.6","10.8","86.2%"
"25","Myles Gaskin (MIA)","172","613","3.6","30","0","3","46","60","223","4.8","4","1","16","169.6","10.6","84.4%"
"26","Darrell Henderson Jr. (LAR)","149","688","4.6","29","0","5","29","40","176","6.1","3","0","12","163.4","13.6","77.5%"
"27","Tony Pollard (DAL)","130","719","5.5","58","0","2","39","46","337","8.6","0","0","15","162.6","10.8","76.9%"
"28","Elijah Mitchell (SF)","186","878","4.7","39","0","5","19","20","137","7.2","1","0","11","156.5","14.2","87.7%"
"29","Michael Carter (NYJ)","138","620","4.5","55","0","4","36","52","325","9.0","0","1","13","152.5","11.7","79.1%"
"30","Chase Edmonds (ARI)","116","592","5.1","54","0","2","43","53","311","7.2","0","1","12","143.3","11.9","86.8%"
"31","Devonta Freeman (BAL)","128","555","4.3","32","0","5","32","40","184","5.8","1","0","15","141.9","9.5","73.2%"
"32","Saquon Barkley (NYG)","151","563","3.7","41","0","2","38","53","244","6.4","2","1","13","140.7","10.8","97.8%"
"33","Sony Michel (LAR)","187","802","4.3","39","0","4","20","29","122","6.1","1","1","16","140.4","8.8","87.0%"
"34","Devontae Booker (NYG)","137","579","4.2","31","0","2","38","43","256","6.7","1","0","15","139.5","9.3","23.3%"
"35","Mike Davis (ATL)","132","473","3.6","18","0","3","41","55","261","6.4","1","1","16","136.4","8.5","49.8%"
"36","J.D. McKissic (WAS)","48","212","4.4","15","0","2","43","53","397","9.2","2","0","11","127.9","11.6","33.8%"
"37","Christian McCaffrey (CAR)","99","442","4.5","18","0","1","37","41","343","9.3","1","0","7","127.5","18.2","47.4%"
"38","Chuba Hubbard (CAR)","163","564","3.5","26","0","5","23","35","166","7.2","0","1","15","124.0","8.3","57.8%"
"39","Alexander Mattison (MIN)","129","473","3.7","48","0","3","31","38","225","7.3","1","1","15","122.8","8.2","77.6%"
"40","Miles Sanders (PHI)","137","754","5.5","38","0","0","26","34","158","6.1","0","1","12","117.2","9.8","78.6%"
"41","Ty Johnson (NYJ)","60","239","4.0","24","0","2","34","54","372","10.9","2","1","14","117.1","8.4","15.9%"
"42","Clyde Edwards-Helaire (KC)","119","517","4.3","17","0","4","19","23","118","6.2","2","2","10","116.5","11.7","88.6%"
"43","Jamaal Williams (DET)","140","558","4.0","20","0","3","25","27","148","5.9","0","0","12","113.6","9.5","58.5%"
"44","Rhamondre Stevenson (NE)","129","572","4.4","21","0","5","13","16","121","9.3","0","1","11","110.3","10.0","49.0%"
"45","Kareem Hunt (CLE)","78","386","4.9","33","0","5","22","27","174","7.9","0","0","8","110.0","13.8","82.6%"
