"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","99","138","1,276","12.9","43","0","9","0","0","0","0","16","284.6","17.8","99.9%"
"2","Travis Kelce (KC)","88","129","1,091","12.4","69","0","8","2","3","1","1","15","249.4","16.6","100.0%"
"3","George Kittle (SF)","66","87","900","13.6","48","0","6","3","20","0","1","13","192.0","14.8","99.7%"
"4","Dalton Schultz (DAL)","75","101","787","10.5","32","0","6","0","0","0","0","16","191.7","12.0","89.8%"
"5","Kyle Pitts (ATL)","66","105","1,018","15.4","61","0","1","0","0","0","0","16","173.8","10.9","97.6%"
"6","Zach Ertz (ARI)","67","102","679","10.1","47","0","5","1","4","0","0","16","165.3","10.3","84.4%"
"7","Dallas Goedert (PHI)","56","76","830","14.8","45","0","4","0","0","0","0","15","165.0","11.0","91.7%"
"8","Mike Gesicki (MIA)","71","109","758","10.7","40","0","2","0","0","0","0","16","160.8","10.1","87.8%"
"9","Noah Fant (DEN)","67","88","654","9.8","35","0","4","0","0","0","0","15","156.4","10.4","80.2%"
"10","Dawson Knox (BUF)","46","66","538","11.7","53","0","9","0","0","0","0","14","155.8","11.1","87.3%"
"11","Hunter Henry (NE)","45","69","517","11.5","33","0","9","0","0","0","0","15","150.7","10.0","65.7%"
"12","Rob Gronkowski (TB)","48","78","665","13.9","35","0","6","0","0","0","0","11","150.5","13.7","97.7%"
"13","T.J. Hockenson (DET)","61","84","583","9.6","33","0","4","0","0","0","0","12","145.3","12.1","57.9%"
"14","Pat Freiermuth (PIT)","54","70","444","8.2","24","0","7","0","0","0","1","15","140.4","9.4","55.8%"
"15","Tyler Conklin (MIN)","59","83","587","9.9","40","0","3","0","0","0","0","16","135.7","8.5","40.4%"
"16","Darren Waller (LV)","53","84","643","12.1","33","0","2","0","0","0","0","10","129.3","12.9","92.5%"
"17","C.J. Uzomah (CIN)","49","63","493","10.1","55","0","5","0","0","0","0","16","128.3","8.0","21.4%"
"18","Tyler Higbee (LAR)","55","77","505","9.2","37","0","3","0","0","0","0","14","123.5","8.8","76.9%"
"19","Jared Cook (LAC)","44","76","484","11.0","29","0","4","0","0","0","0","15","120.4","8.0","49.3%"
"20","Gerald Everett (SEA)","47","60","458","9.7","41","0","4","3","20","0","2","14","114.8","8.2","35.7%"
"21","Cole Kmet (CHI)","56","88","564","10.1","25","0","0","1","0","0","0","16","112.4","7.0","33.4%"
"22","David Njoku (CLE)","34","51","464","13.6","71","0","4","1","1","0","0","14","104.5","7.5","13.0%"
"23","Evan Engram (NYG)","45","68","404","9.0","30","0","3","1","-3","0","1","14","101.1","7.2","28.5%"
"24","Austin Hooper (CLE)","38","61","345","9.1","34","0","3","0","0","0","0","15","92.5","6.2","28.8%"
"25","Foster Moreau (LV)","28","42","323","11.5","34","0","3","0","0","0","0","14","78.3","5.6","24.4%"
"26","Jack Doyle (IND)","28","41","291","10.4","34","0","3","0","0","0","0","14","77.1","5.5","2.2%"
"27","Albert Okwuegbunam (DEN)","33","40","330","10.0","64","0","2","0","0","0","1","13","76.0","5.8","1.0%"
"28","Dan Arnold (JAC)","35","52","408","11.7","28","0","0","0","0","0","1","11","75.8","6.9","6.7%"
"29","Cameron Brate (TB)","28","54","233","8.3","18","0","4","0","0","0","0","15","75.3","5.0","2.8%"
"30","Mo Alie-Cox (IND)","22","42","289","13.1","37","0","4","0","0","0","0","16","74.9","4.7","2.2%"
"31","Ricky Seals-Jones (WAS)","30","49","271","9.0","39","0","2","0","0","0","0","11","69.1","6.3","10.9%"
"32","Geoff Swaim (TEN)","30","39","208","6.9","26","0","3","0","0","0","0","15","68.8","4.6","0.3%"
"33","Jonnu Smith (NE)","28","45","294","10.5","28","0","1","8","35","0","0","15","66.9","4.5","22.6%"
"34","Ryan Griffin (NYJ)","27","42","261","9.7","29","0","2","0","0","0","0","14","65.1","4.7","0.6%"
"35","Durham Smythe (MIA)","32","39","325","10.2","25","0","0","2","3","0","0","15","64.8","4.3","0.1%"
"36","Harrison Bryant (CLE)","20","25","224","11.2","41","0","3","0","0","0","0","14","60.4","4.3","0.2%"
"37","Hayden Hurst (ATL)","25","30","188","7.5","17","0","3","0","0","0","1","11","59.8","5.4","0.9%"
"38","Donald Parham Jr. (LAC)","20","27","190","9.5","22","0","3","0","0","0","0","14","59.0","4.2","0.7%"
"39","Anthony Firkser (TEN)","30","39","235","7.8","15","0","1","0","0","0","1","14","57.5","4.1","3.7%"
"40","Brevin Jordan (HOU)","20","28","178","8.9","27","0","3","0","0","0","0","8","55.8","7.0","1.3%"
"41","Adam Trautman (NO)","26","42","245","9.4","32","0","1","0","0","0","1","10","54.5","5.5","3.7%"
"42","Kyle Rudolph (NYG)","22","33","240","10.9","60","0","1","0","0","0","0","14","54.0","3.9","0.3%"
"43","Logan Thomas (WAS)","18","25","196","10.9","35","0","3","0","0","0","1","5","53.6","10.7","27.1%"
"44","Robert Tonyan (GB)","18","29","204","11.3","33","0","2","0","0","0","0","8","50.4","6.3","18.6%"
"45","James O'Shaughnessy (JAC)","24","34","244","10.2","30","0","0","0","0","0","0","7","50.4","7.2","1.7%"
"46","Will Dissly (SEA)","21","26","231","11.0","39","0","1","0","0","0","0","13","50.1","3.9","0.2%"
"47","Tommy Tremble (CAR)","18","30","173","9.6","30","0","1","2","7","1","0","14","50.0","3.6","0.3%"
"48","John Bates (WAS)","19","23","244","12.8","32","0","1","0","0","0","0","12","49.4","4.1","0.6%"
"49","MyCole Pruitt (TEN)","14","19","145","10.4","22","0","3","0","0","0","0","13","48.5","3.7","0.0%"
"50","Jimmy Graham (CHI)","12","21","151","12.6","28","0","3","0","0","0","0","10","47.1","4.7","0.8%"
"51","Josiah Deguara (GB)","22","29","179","8.1","25","0","1","0","0","0","0","13","45.9","3.5","0.4%"
"52","Juwan Johnson (NO)","12","20","154","12.8","27","0","3","0","0","0","0","12","45.4","3.8","1.9%"
"53","Marcedes Lewis (GB)","23","27","214","9.3","23","0","0","0","0","0","0","12","44.4","3.7","0.3%"
"54","Jordan Akins (HOU)","24","33","214","8.9","31","0","0","1","3","0","2","12","41.7","3.5","0.3%"
"55","Maxx Williams (ARI)","16","17","193","12.1","34","0","1","0","0","0","0","5","41.3","8.3","0.4%"
"56","Stephen Anderson (LAC)","16","19","165","10.3","34","0","1","0","0","0","0","14","38.5","2.8","0.2%"
"57","Pharaoh Brown (HOU)","23","34","171","7.4","29","0","0","0","0","0","1","13","38.1","2.9","0.1%"
"58","Tyler Kroft (NYJ)","15","22","168","11.2","26","0","1","0","0","0","0","8","37.8","4.7","0.6%"
"59","Ian Thomas (CAR)","18","30","188","10.4","41","0","0","0","0","0","0","14","36.8","2.6","0.1%"
"60","O.J. Howard (TB)","14","21","135","9.6","21","0","1","0","0","0","0","11","33.5","3.0","1.2%"
"61","Eric Ebron (PIT)","12","18","84","7.0","19","0","1","1","1","1","0","8","32.5","4.1","3.0%"
"62","Blake Jarwin (DAL)","10","15","90","9.0","20","0","2","0","0","0","0","7","31.0","4.4","2.7%"
"63","Zach Gentry (PIT)","15","20","128","8.5","24","0","0","0","0","0","0","9","27.8","3.1","0.2%"
"64","Nick Vannett (NO)","8","14","123","15.4","30","0","1","0","0","0","0","6","26.3","4.4","0.1%"
"65","Adam Shaheen (MIA)","12","16","110","9.2","21","0","0","0","0","0","0","9","23.0","2.6","0.0%"
"66","Brock Wright (DET)","10","15","66","6.6","23","0","1","0","0","0","0","7","22.6","3.2","0.1%"
"67","Kylen Granson (IND)","11","15","106","9.6","27","0","0","0","0","0","0","10","21.6","2.2","0.1%"
"68","Lee Smith (ATL)","9","11","65","7.2","22","0","1","0","0","0","0","10","21.5","2.2","0.0%"
"69","Tommy Sweeney (BUF)","9","12","44","4.9","13","0","1","0","0","0","0","7","19.4","2.8","0.5%"
"70","Jesse James (CHI)","7","8","62","8.9","19","0","1","0","0","0","0","5","19.2","3.8","0.0%"
"71","Chris Manhertz (JAC)","6","9","71","11.8","22","0","1","0","0","0","0","10","19.1","1.9","0.0%"
"72","Blake Bell (KC)","9","13","87","9.7","24","0","0","4","10","0","0","11","18.7","1.7","0.2%"
"73","Eric Saubert (DEN)","8","12","47","5.9","11","0","1","0","0","0","0","10","18.7","1.9","0.0%"
