"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Devin Singletary (BUF)","57","235","4.1","20","0","4","6","8","49","8.2","0","0","3","58.4","19.5","85.7%"
"2","Rashaad Penny (SEA)","53","344","6.5","37","0","3","4","6","20","5.0","0","0","3","58.4","19.5","73.2%"
"3","David Montgomery (CHI)","61","169","2.8","16","0","3","14","17","101","7.2","0","1","3","56.0","18.7","98.0%"
"4","Justin Jackson (LAC)","36","191","5.3","22","0","2","12","13","131","10.9","0","1","3","54.2","18.1","44.0%"
"5","Joe Mixon (CIN)","47","169","3.6","19","0","1","14","15","112","8.0","1","0","3","54.1","18.0","99.9%"
"6","Sony Michel (LAR)","64","297","4.6","39","0","2","6","11","52","8.7","0","0","3","52.9","17.6","87.0%"
"7","Jonathan Taylor (IND)","76","386","5.1","67","0","2","1","4","6","6.0","0","0","3","52.2","17.4","100.0%"
"8","Najee Harris (PIT)","59","299","5.1","37","0","1","10","15","43","4.3","0","0","3","50.2","16.7","99.9%"
"9","Nick Chubb (CLE)","52","275","5.3","32","0","2","4","6","60","15.0","0","0","3","49.5","16.5","99.8%"
"10","Rex Burkhead (HOU)","54","237","4.4","36","0","2","9","11","38","4.2","0","0","3","48.5","16.2","31.1%"
"11","Damien Harris (NE)","27","138","5.1","31","0","5","1","1","12","12.0","0","0","2","46.0","23.0","89.8%"
"12","Chase Edmonds (ARI)","40","162","4.1","23","0","1","13","16","100","7.7","0","0","3","45.2","15.1","86.3%"
"13","Aaron Jones (GB)","33","200","6.1","28","0","0","12","14","63","5.3","1","0","3","44.3","14.8","99.8%"
"14","D'Onta Foreman (TEN)","57","257","4.5","35","0","2","2","3","27","13.5","0","0","3","42.4","14.1","61.7%"
"15","Josh Jacobs (LV)","58","244","4.2","19","0","1","8","11","54","6.8","0","1","3","41.8","13.9","97.8%"
"16","AJ Dillon (GB)","30","126","4.2","9","0","3","6","7","48","8.0","0","0","3","41.4","13.8","87.3%"
"17","Darrel Williams (KC)","30","155","5.2","19","0","2","6","7","49","8.2","0","0","3","38.4","12.8","78.6%"
