"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","24","29","350","14.6","43","0","3","0","0","0","0","3","77.0","25.7","99.9%"
"2","Travis Kelce (KC)","15","20","216","14.4","69","0","3","1","-1","0","0","2","54.5","27.3","100.0%"
"3","Dalton Schultz (DAL)","22","27","203","9.2","16","0","2","0","0","0","0","3","54.3","18.1","89.6%"
"4","Dallas Goedert (PHI)","15","20","234","15.6","45","0","0","0","0","0","0","3","38.4","12.8","92.0%"
"5","Noah Fant (DEN)","14","17","179","12.8","35","0","1","0","0","0","0","3","37.9","12.6","80.1%"
"6","Zach Ertz (ARI)","21","33","169","8.0","20","0","0","0","0","0","0","3","37.9","12.6","83.8%"
"7","Kyle Pitts (ATL)","12","17","248","20.7","61","0","0","0","0","0","0","3","36.8","12.3","97.6%"
"8","Hunter Henry (NE)","10","19","123","12.3","25","0","2","0","0","0","0","3","34.3","11.4","65.6%"
"9","Gerald Everett (SEA)","11","14","164","14.9","34","0","1","0","0","0","0","3","33.4","11.1","35.7%"
"10","Cole Kmet (CHI)","13","19","145","11.2","23","0","0","0","0","0","0","3","27.5","9.2","34.0%"
"11","Rob Gronkowski (TB)","10","23","167","16.7","24","0","0","0","0","0","0","3","26.7","8.9","97.7%"
"12","Foster Moreau (LV)","12","14","141","11.8","28","0","0","0","0","0","0","3","26.1","8.7","24.8%"
"13","George Kittle (SF)","9","11","143","15.9","29","0","0","1","6","0","0","3","23.9","8.0","99.7%"
"14","Mike Gesicki (MIA)","12","19","116","9.7","20","0","0","0","0","0","0","3","23.6","7.9","87.9%"
"15","Harrison Bryant (CLE)","4","4","13","3.3","6","0","3","0","0","0","0","3","23.3","7.8","0.2%"
"16","John Bates (WAS)","6","8","109","18.2","32","0","1","0","0","0","0","3","22.9","7.6","0.6%"
"17","Tyler Higbee (LAR)","11","15","110","10.0","19","0","0","0","0","0","0","2","22.0","11.0","76.6%"
"18","Cameron Brate (TB)","6","11","38","6.3","16","0","2","0","0","0","0","3","21.8","7.3","2.7%"
"19","Evan Engram (NYG)","9","12","62","6.9","15","0","1","0","0","0","0","3","21.2","7.1","28.5%"
"20","C.J. Uzomah (CIN)","12","17","86","7.2","16","0","0","0","0","0","0","3","20.6","6.9","21.3%"
"21","Tyler Conklin (MIN)","10","17","98","9.8","19","0","0","0","0","0","0","3","19.8","6.6","39.8%"
"22","James O'Shaughnessy (JAC)","8","8","109","13.6","30","0","0","0","0","0","0","2","18.9","9.5","1.7%"
"23","David Njoku (CLE)","7","11","57","8.1","13","0","1","0","0","0","0","3","18.7","6.2","13.0%"
