"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Amon-Ra St. Brown (DET)","25","33","292","11.7","37","0","3","5","47","1","0","3","84.9","28.3","78.4%"
"2","Davante Adams (GB)","27","34","294","10.9","33","0","4","0","0","0","0","3","80.4","26.8","100.0%"
"3","Cooper Kupp (LAR)","25","33","340","13.6","42","0","3","2","5","0","0","3","77.5","25.8","100.0%"
"4","Ja'Marr Chase (CIN)","19","26","394","20.7","72","0","3","0","0","0","0","3","76.4","25.5","98.5%"
"5","Deebo Samuel (SF)","16","22","282","17.6","56","0","1","18","80","1","0","3","64.2","21.4","98.7%"
"6","Tee Higgins (CIN)","17","21","279","16.4","52","0","2","0","0","0","0","3","56.9","19.0","95.6%"
"7","D.K. Metcalf (SEA)","14","26","156","11.1","41","0","4","1","6","0","0","3","54.2","18.1","98.9%"
"8","Tyler Boyd (CIN)","12","17","217","18.1","68","0","3","0","0","0","0","3","51.7","17.2","71.5%"
"9","Braxton Berrios (NYJ)","14","19","128","9.1","12","0","1","5","25","2","1","3","51.3","17.1","6.2%"
"10","Christian Kirk (ARI)","22","30","221","10.0","43","0","1","0","0","0","0","3","50.1","16.7","77.0%"
"11","Brandin Cooks (HOU)","14","21","168","12.0","43","0","3","0","0","0","0","2","48.8","24.4","92.2%"
"12","Tyreek Hill (KC)","20","25","207","10.4","40","0","1","1","2","0","0","3","46.9","15.6","100.0%"
"13","Justin Jefferson (MIN)","18","33","221","12.3","34","0","1","0","0","0","0","3","46.1","15.4","99.9%"
"14","Stefon Diggs (BUF)","16","29","172","10.8","23","0","2","0","0","0","0","3","45.2","15.1","100.0%"
"15","Jakobi Meyers (NE)","20","28","176","8.8","21","0","1","1","9","0","0","3","44.5","14.8","65.7%"
"16","Zay Jones (LV)","20","27","237","11.9","42","0","0","1","-1","0","0","3","43.6","14.5","2.5%"
"17","Darnell Mooney (CHI)","17","29","189","11.1","30","0","1","3","5","0","0","3","42.4","14.1","74.5%"
"18","Diontae Johnson (PIT)","19","29","120","6.3","18","0","2","1","10","0","1","3","42.0","14.0","98.3%"
"19","Keenan Allen (LAC)","14","25","157","11.2","29","0","2","0","0","0","0","3","41.7","13.9","99.3%"
"20","Marquez Callaway (NO)","16","24","255","15.9","40","0","0","0","0","0","0","3","41.5","13.8","27.8%"
"21","Hunter Renfrow (LV)","13","17","148","11.4","24","0","2","0","0","0","0","3","39.8","13.3","89.6%"
"22","Allen Lazard (GB)","10","15","140","14.0","34","0","2","2","18","0","0","3","37.8","12.6","23.3%"
"23","A.J. Brown (TEN)","13","21","186","14.3","42","0","1","0","0","0","0","2","37.6","18.8","97.6%"
